case_id,organization_id,relationship,source_record_id
CASE01,ORG01,associated,
CASE01,ORG02,linked_activity,
CASE02,ORG01,associated,
CASE03,ORG03,registered_at,
CASE03,ORG04,registered_at,
CASE04,ORG04,linked_activity,
CASE05,ORG06,associated,
CASE05,ORG05,evidence_reference,
CASE06,ORG06,associated,
CASE07,ORG08,linked_activity,
CASE07,ORG07,associated,
CASE08,ORG08,linked_activity,
CASE09,ORG10,associated,
CASE10,ORG09,linked_activity,
CASE10,ORG10,evidence_reference,
CASE09,ORG09,linked_activity,
