case_id,person_id,role,source_record_id
CASE01,P005,investigator_reference,
CASE01,P004,unknown,
CASE01,P006,complainant,
CASE02,P006,unknown,
CASE02,P004,associate,
CASE02,P003,person_of_interest,
CASE03,P011,investigator_reference,
CASE03,P012,investigator_reference,
CASE03,P013,witness,
CASE03,P016,person_of_interest,
CASE04,P018,associate,
CASE04,P015,person_of_interest,
CASE04,P010,complainant,
CASE04,P014,witness,
CASE04,P016,complainant,
CASE05,P019,witness,
CASE05,P020,person_of_interest,
CASE05,P027,unknown,
CASE05,P021,unknown,
CASE06,P019,investigator_reference,
CASE06,P022,investigator_reference,
CASE06,P023,complainant,
CASE06,P026,person_of_interest,
CASE07,P030,associate,
CASE07,P035,person_of_interest,
CASE07,P028,complainant,
CASE08,P033,person_of_interest,
CASE08,P028,witness,
CASE08,P031,complainant,
CASE08,P030,person_of_interest,
CASE08,P029,associate,
CASE09,P044,investigator_reference,
CASE09,P037,associate,
CASE09,P038,witness,
CASE09,P039,person_of_interest,
CASE10,P037,person_of_interest,
CASE10,P038,witness,
CASE10,P045,person_of_interest,
CASE11,P034,complainant,
CASE11,P012,witness,
CASE11,P025,investigator_reference,
CASE12,P019,witness,
CASE12,P015,person_of_interest,
CASE12,P004,investigator_reference,
CASE13,P001,unknown,
CASE13,P040,associate,
CASE13,P041,person_of_interest,
CASE04,P012,associate,
