case_id,vehicle_id,relationship,source_record_id
CASE01,VH03,evidence_reference,
CASE02,VH01,mentioned,
CASE02,VH02,observed,
CASE03,VH04,associated,
CASE04,VH04,mentioned,
CASE05,VH08,observed,
CASE06,VH07,evidence_reference,
CASE07,VH12,mentioned,
CASE07,VH10,observed,
CASE08,VH11,evidence_reference,
CASE08,VH12,evidence_reference,
CASE09,VH14,associated,
CASE09,VH15,mentioned,
CASE10,VH14,observed,
CASE10,VH15,mentioned,
CASE11,VH17,observed,
CASE06,VH17,mentioned,
CASE09,VH17,associated,
CASE12,VH16,evidence_reference,
CASE13,VH18,mentioned,
