communication_id,timestamp,caller_phone_id,receiver_phone_id,duration_seconds,communication_type,source_record_id
COMM0001,2026-02-05T10:15:00Z,PH003,PH010,184,call,
COMM0002,2026-02-13T10:31:00Z,PH004,PH005,188,call,
COMM0003,2026-02-14T11:38:00Z,PH004,PH030,138,call,
COMM0004,2026-02-15T12:45:00Z,PH004,PH026,0,sms,
COMM0005,2026-02-16T13:52:00Z,PH029,PH006,356,call,
COMM0006,2026-02-17T14:59:00Z,PH029,PH027,0,sms,
COMM0007,2026-02-18T09:06:00Z,PH029,PH026,421,call,
COMM0008,2026-02-19T10:13:00Z,PH029,PH006,188,call,
COMM0009,2026-04-16T13:08:53.569Z,PH015,PH010,41,call,
COMM0010,2026-06-12T06:19:08.851Z,PH010,PH010,58,call,
COMM0011,2026-05-30T23:04:43.359Z,PH010,PH010,299,call,
COMM0012,2026-01-13T14:14:18.382Z,PH010,PH005,0,messaging_metadata,
COMM0013,2026-05-03T03:45:11.828Z,PH010,PH010,0,messaging_metadata,
COMM0014,2026-01-17T20:05:26.857Z,PH034,PH010,577,call,
COMM0015,2026-05-20T19:42:38.896Z,PH022,PH010,0,messaging_metadata,
COMM0016,2026-04-25T09:19:39.760Z,PH038,PH010,427,call,
COMM0017,2026-03-06T06:20:46.009Z,PH010,PH032,0,sms,
COMM0018,2026-04-23T04:40:54.357Z,PH034,PH022,0,sms,
COMM0019,2026-05-24T01:08:38.624Z,PH012,PH039,0,messaging_metadata,
COMM0020,2026-06-17T10:53:31.404Z,PH014,PH010,0,sms,
COMM0021,2026-06-03T12:01:05.195Z,PH024,PH010,390,call,
COMM0022,2026-04-29T18:47:22.476Z,PH010,PH036,0,sms,
COMM0023,2026-01-11T15:07:11.364Z,PH032,PH010,0,sms,
COMM0024,2026-02-03T01:56:39.620Z,PH010,PH010,463,call,
COMM0025,2026-02-19T11:19:37.265Z,PH010,PH016,0,messaging_metadata,
COMM0026,2026-02-28T07:21:58.088Z,PH010,PH030,0,sms,
COMM0027,2026-05-02T06:41:46.169Z,PH020,PH010,16,call,
COMM0028,2026-01-06T02:05:36.156Z,PH010,PH026,0,sms,
COMM0029,2026-01-20T10:46:07.389Z,PH018,PH031,0,sms,
COMM0030,2026-02-03T05:10:23.038Z,PH010,PH002,0,messaging_metadata,
COMM0031,2026-04-29T09:05:56.802Z,PH021,PH018,0,sms,
COMM0032,2026-04-10T14:38:15.320Z,PH022,PH040,0,sms,
COMM0033,2026-05-10T07:46:27.963Z,PH028,PH031,0,sms,
