event_id,person_id,location_id,timestamp,event_type,source_record_id
PLE001,P015,LOC17,2026-03-10T12:00:00Z,visited,
PLE002,P030,LOC17,2026-03-12T15:30:00Z,observed,
PLE003,P022,LOC02,2026-04-11T09:00:00Z,observed,
PLE004,P022,LOC07,2026-04-12T10:00:00Z,visited,
PLE005,P022,LOC10,2026-04-13T11:00:00Z,entered,
PLE006,P022,LOC16,2026-04-14T12:00:00Z,entered,
PLE007,P022,LOC18,2026-04-15T13:00:00Z,visited,
PLE008,P001,LOC01,2026-01-25T15:10:00Z,entered,
PLE009,P002,LOC01,2026-06-17T18:14:00Z,associated,
PLE010,P002,LOC03,2026-06-15T12:51:00Z,observed,
PLE011,P003,LOC01,2026-03-19T15:47:00Z,observed,
PLE012,P003,LOC02,2026-03-24T10:01:00Z,exited,
PLE013,P003,LOC02,2026-02-13T10:16:00Z,exited,
PLE014,P004,LOC03,2026-06-03T11:56:00Z,associated,
PLE015,P004,LOC02,2026-06-22T10:53:00Z,associated,
PLE016,P005,LOC02,2026-04-04T17:17:00Z,exited,
PLE017,P005,LOC03,2026-03-06T16:00:00Z,exited,
PLE018,P006,LOC02,2026-05-14T10:06:00Z,observed,
PLE019,P007,LOC03,2026-06-12T10:52:00Z,entered,
PLE020,P007,LOC02,2026-04-11T11:21:00Z,entered,
PLE021,P008,LOC02,2026-06-21T18:50:00Z,observed,
PLE022,P008,LOC03,2026-04-27T11:18:00Z,associated,
PLE023,P008,LOC01,2026-02-18T09:59:00Z,entered,
PLE024,P009,LOC02,2026-01-14T15:30:00Z,entered,
PLE025,P009,LOC01,2026-01-22T13:26:00Z,observed,
PLE026,P009,LOC03,2026-02-07T16:23:00Z,observed,
PLE027,P010,LOC16,2026-01-17T08:23:00Z,entered,
PLE028,P011,LOC05,2026-01-04T12:46:00Z,associated,
PLE029,P011,LOC04,2026-02-11T11:43:00Z,entered,
PLE030,P012,LOC16,2026-01-26T18:32:00Z,entered,
PLE031,P012,LOC06,2026-06-24T18:21:00Z,entered,
PLE032,P012,LOC06,2026-05-27T08:44:00Z,observed,
PLE033,P013,LOC05,2026-02-20T16:07:00Z,entered,
PLE034,P013,LOC06,2026-06-03T08:30:00Z,associated,
PLE035,P014,LOC16,2026-02-18T17:12:00Z,exited,
PLE036,P014,LOC16,2026-02-08T09:50:00Z,associated,
PLE037,P015,LOC06,2026-06-01T10:52:00Z,observed,
PLE038,P015,LOC05,2026-02-08T15:44:00Z,exited,
PLE039,P016,LOC05,2026-05-14T14:29:00Z,observed,
PLE040,P017,LOC17,2026-06-15T08:08:00Z,associated,
PLE041,P018,LOC05,2026-03-10T18:18:00Z,exited,
PLE042,P018,LOC17,2026-04-06T09:38:00Z,entered,
PLE043,P019,LOC07,2026-04-05T08:13:00Z,visited,
PLE044,P020,LOC08,2026-03-14T09:11:00Z,observed,
PLE045,P021,LOC08,2026-01-15T12:48:00Z,associated,
PLE046,P022,LOC07,2026-02-24T10:15:00Z,observed,
PLE047,P022,LOC07,2026-03-03T18:27:00Z,observed,
PLE048,P023,LOC07,2026-01-11T08:18:00Z,exited,
