event_id,person_id,vehicle_id,location_id,timestamp,source_record_id
PVE001,P011,VH05,LOC04,2026-01-25T11:40:00Z,
PVE002,P020,VH05,LOC07,2026-03-20T16:05:00Z,
PVE003,P005,VH02,LOC01,2026-01-10T09:20:00Z,
PVE004,P012,VH02,LOC05,2026-02-15T14:50:00Z,
PVE005,P005,VH02,LOC03,2026-02-14T14:38:00Z,
PVE006,P005,VH02,LOC02,2026-04-24T14:41:00Z,
PVE007,P012,VH02,LOC17,2026-01-25T17:08:00Z,
PVE008,P005,VH02,LOC03,2026-05-24T09:12:00Z,
PVE009,P020,VH05,LOC09,2026-03-07T13:35:00Z,
PVE010,P013,VH05,LOC16,2026-06-02T10:44:00Z,
PVE011,P020,VH05,LOC08,2026-05-16T08:54:00Z,
PVE012,P013,VH05,LOC06,2026-01-05T10:24:00Z,
PVE013,P032,VH11,LOC11,2026-04-24T17:00:00Z,
PVE014,P032,VH11,LOC10,2026-01-01T07:35:00Z,
PVE015,P028,VH11,LOC11,2026-01-07T18:51:00Z,
PVE016,P017,VH17,LOC17,2026-01-26T19:19:00Z,
PVE017,P033,VH17,LOC12,2026-04-12T18:01:00Z,
PVE018,P033,VH17,LOC12,2026-05-19T07:52:00Z,
PVE019,P033,VH17,LOC12,2026-02-09T16:53:00Z,
PVE020,P005,VH01,LOC02,2026-01-07T19:08:00Z,
PVE021,P005,VH01,LOC01,2026-02-26T09:35:00Z,
PVE022,P005,VH01,LOC02,2026-03-22T19:27:00Z,
PVE023,P005,VH01,LOC03,2026-02-14T13:57:00Z,
PVE024,P005,VH03,LOC01,2026-05-09T09:43:00Z,
PVE025,P005,VH03,LOC02,2026-03-09T19:51:00Z,
PVE026,P005,VH03,LOC02,2026-02-01T16:22:00Z,
PVE027,P016,VH04,LOC04,2026-02-06T17:52:00Z,
PVE028,P016,VH04,LOC17,2026-04-24T15:41:00Z,
PVE029,P012,VH06,LOC16,2026-02-03T09:20:00Z,
PVE030,P012,VH06,LOC06,2026-04-17T15:51:00Z,
PVE031,P021,VH07,LOC18,2026-02-14T11:53:00Z,
PVE032,P021,VH07,LOC09,2026-03-13T07:05:00Z,
PVE033,P021,VH07,LOC18,2026-06-19T18:32:00Z,
PVE034,P021,VH07,LOC07,2026-02-23T18:49:00Z,
PVE035,P024,VH08,LOC08,2026-01-19T17:16:00Z,
PVE036,P024,VH08,LOC07,2026-05-14T14:46:00Z,
PVE037,P024,VH08,LOC09,2026-04-23T15:38:00Z,
PVE038,P021,VH09,LOC09,2026-01-22T09:01:00Z,
PVE039,P021,VH09,LOC07,2026-04-05T13:32:00Z,
PVE040,P032,VH10,LOC10,2026-03-06T16:42:00Z,
PVE041,P032,VH10,LOC11,2026-04-13T17:39:00Z,
PVE042,P032,VH10,LOC12,2026-03-14T19:05:00Z,
PVE043,P032,VH10,LOC10,2026-01-23T19:38:00Z,
PVE044,P035,VH12,LOC12,2026-02-23T11:15:00Z,
PVE045,P035,VH12,LOC10,2026-05-08T08:09:00Z,
PVE046,P035,VH12,LOC11,2026-03-13T18:21:00Z,
PVE047,P039,VH13,LOC14,2026-03-25T07:46:00Z,
PVE048,P039,VH13,LOC13,2026-04-25T07:15:00Z,
PVE049,P039,VH13,LOC14,2026-02-13T16:57:00Z,
PVE050,P043,VH14,LOC15,2026-02-06T13:36:00Z,
PVE051,P044,VH14,LOC14,2026-04-11T09:44:00Z,
PVE052,P044,VH14,LOC15,2026-05-17T12:33:00Z,
PVE053,P040,VH15,LOC13,2026-04-18T13:48:00Z,
PVE054,P040,VH15,LOC14,2026-06-22T07:35:00Z,
PVE055,P040,VH15,LOC13,2026-04-17T13:54:00Z,
PVE056,P040,VH15,LOC15,2026-05-14T09:30:00Z,
PVE057,P009,VH16,LOC03,2026-05-16T16:08:00Z,
PVE058,P009,VH16,LOC02,2026-04-24T16:00:00Z,
PVE059,P009,VH16,LOC03,2026-04-11T14:28:00Z,
PVE060,P009,VH16,LOC03,2026-05-07T17:02:00Z,
PVE061,P037,VH18,LOC15,2026-03-01T07:12:00Z,
PVE062,P037,VH18,LOC13,2026-02-23T17:31:00Z,
