transaction_id,timestamp,sender_account_id,receiver_account_id,amount,transaction_type,reference,source_record_id
TXN0001,2026-03-08T14:22:00Z,ACC05,ACC13,18500,transfer,invoice settlement,
TXN0002,2026-03-10T08:00:00Z,ACC01,ACC05,6889.534493339879,payment,routine business,
TXN0003,2026-03-11T11:11:00Z,ACC16,ACC20,2136.7719669069033,cash_deposit,routine business,
TXN0004,2026-03-10T14:22:00Z,ACC23,ACC05,12071.811591399182,payment,routine business,
TXN0005,2026-03-11T17:33:00Z,ACC08,ACC05,5315.492079271224,cash_deposit,routine business,
TXN0006,2026-03-10T20:44:00Z,ACC02,ACC24,3509.983129223376,transfer,routine business,
TXN0007,2026-04-05T10:00:00Z,,ACC23,4615.9486962999335,cash_deposit,cash deposit,
TXN0008,2026-04-06T11:13:00Z,,ACC23,3507.755820490229,cash_deposit,cash deposit,
TXN0009,2026-04-07T12:26:00Z,,ACC23,2719.962242729485,cash_deposit,cash deposit,
TXN0010,2026-04-08T13:39:00Z,,ACC23,875.3458182132866,cash_deposit,cash deposit,
TXN0011,2026-04-05T14:52:00Z,,ACC21,2317.052944597976,cash_deposit,cash deposit,
TXN0012,2026-04-06T15:05:00Z,,ACC22,5065.099584720752,cash_deposit,cash deposit,
TXN0013,2026-04-07T16:18:00Z,,ACC22,1208.2872444403124,cash_deposit,cash deposit,
TXN0014,2026-04-08T17:31:00Z,,ACC21,2696.5763963956983,cash_deposit,cash deposit,
TXN0015,2026-04-05T10:44:00Z,,ACC21,2118.0662545489577,cash_deposit,cash deposit,
TXN0016,2026-06-04T03:05:40.547Z,ACC13,ACC14,1824.19,payment,utility payment,
TXN0017,2026-02-04T17:01:42.234Z,ACC12,ACC26,217.77,transfer,utility payment,
TXN0018,2026-01-01T19:56:17.486Z,ACC24,,1046.12,withdrawal,refund issued,
TXN0019,2026-06-03T14:03:15.279Z,ACC23,ACC22,2840.94,payment,purchase,
TXN0020,2026-04-07T16:17:42.762Z,ACC18,,2895.42,withdrawal,rent,
TXN0021,2026-02-04T00:20:28.457Z,ACC14,,250.07,withdrawal,utility payment,
TXN0022,2026-04-09T19:39:24.145Z,,ACC21,880.27,cash_deposit,refund issued,
TXN0023,2026-06-18T11:54:46.773Z,ACC27,ACC23,988.79,payment,personal transfer,
TXN0024,2026-04-28T05:42:54.597Z,ACC14,ACC24,2831.19,refund,personal transfer,
TXN0025,2026-03-09T06:10:01.686Z,ACC26,ACC06,3605.35,transfer,monthly bill,
TXN0026,2026-03-07T13:58:20.267Z,ACC12,ACC10,770.35,payment,personal transfer,
TXN0027,2026-03-01T01:42:09.559Z,ACC22,ACC24,1447.29,refund,rent,
TXN0028,2026-06-03T00:09:35.344Z,,ACC13,1365.86,cash_deposit,purchase,
TXN0029,2026-02-20T21:36:37.966Z,ACC12,ACC11,1254.12,refund,refund issued,
TXN0030,2026-01-05T20:56:13.345Z,,ACC02,1083.97,cash_deposit,personal transfer,
TXN0031,2026-02-03T21:06:09.489Z,ACC11,ACC12,3012.58,payment,salary,
TXN0032,2026-03-08T11:01:25.700Z,,ACC03,1070.99,cash_deposit,purchase,
TXN0033,2026-04-13T01:51:10.157Z,ACC16,,3933.76,withdrawal,salary,
TXN0034,2026-02-08T16:03:46.942Z,,ACC13,4006.29,cash_deposit,rent,
TXN0035,2026-06-16T22:03:15.342Z,,ACC25,2648.96,cash_deposit,refund issued,
TXN0036,2026-05-24T21:10:50.875Z,ACC25,ACC15,1394.17,transfer,monthly bill,
TXN0037,2026-01-02T11:49:06.408Z,ACC14,ACC12,2595.92,refund,rent,
TXN0038,2026-01-29T17:21:49.605Z,ACC19,ACC16,2220.45,payment,salary,
TXN0039,2026-01-23T20:31:07.491Z,ACC08,,321.06,withdrawal,personal transfer,
TXN0040,2026-06-19T11:42:55.320Z,ACC11,,2378.93,withdrawal,purchase,
TXN0041,2026-04-05T04:54:58.098Z,,ACC19,2057.09,cash_deposit,personal transfer,
TXN0042,2026-01-26T03:50:43.785Z,ACC24,ACC23,3206.53,refund,salary,
TXN0043,2026-06-16T01:00:56.338Z,ACC05,,1715.62,withdrawal,salary,
TXN0044,2026-05-14T17:56:17.904Z,ACC20,,2518.06,withdrawal,rent,
TXN0045,2026-03-17T20:47:49.708Z,ACC03,ACC02,2368.26,refund,monthly bill,
TXN0046,2026-02-05T19:30:28.014Z,ACC18,ACC17,3164.89,transfer,salary,
TXN0047,2026-05-28T16:06:10.651Z,ACC16,ACC17,884.68,transfer,monthly bill,
TXN0048,2026-04-21T00:02:31.779Z,ACC14,,3977.98,withdrawal,salary,
TXN0049,2026-03-08T10:53:49.284Z,ACC04,ACC05,2300.71,refund,salary,
TXN0050,2026-01-26T22:54:28.010Z,ACC01,ACC05,1051.87,transfer,rent,
TXN0051,2026-01-24T05:42:35.307Z,ACC21,,1264.07,withdrawal,utility payment,
TXN0052,2026-03-16T22:49:30.555Z,ACC24,ACC03,630.32,refund,salary,
TXN0053,2026-02-11T18:46:46.773Z,ACC13,ACC14,3108.38,payment,monthly bill,
TXN0054,2026-04-30T14:20:03.289Z,ACC11,,1179.53,withdrawal,monthly bill,
TXN0055,2026-06-09T14:46:23.626Z,ACC19,,3538.18,withdrawal,monthly bill,
TXN0056,2026-03-09T21:28:32.683Z,ACC06,ACC07,2987.77,payment,personal transfer,
TXN0057,2026-03-16T14:36:54.375Z,,ACC22,3240.74,cash_deposit,monthly bill,
TXN0058,2026-05-26T08:39:19.811Z,ACC20,ACC18,2406.65,payment,utility payment,
TXN0059,2026-03-19T21:39:21.650Z,,ACC22,321.47,cash_deposit,monthly bill,
TXN0060,2026-03-01T22:20:17.094Z,ACC01,ACC17,2400.07,refund,refund issued,
TXN0061,2026-03-12T23:20:25.252Z,ACC22,,3088.54,withdrawal,refund issued,
TXN0062,2026-05-11T12:15:22.364Z,ACC14,ACC11,3006,transfer,utility payment,
TXN0063,2026-03-21T18:56:45.674Z,ACC08,ACC09,836.77,payment,purchase,
TXN0064,2026-02-27T14:42:51.639Z,ACC19,ACC17,94.69,payment,personal transfer,
TXN0065,2026-06-13T22:14:36.586Z,,ACC24,2491.48,cash_deposit,rent,
TXN0066,2026-03-29T14:10:11.645Z,ACC19,ACC11,2455.47,refund,personal transfer,
TXN0067,2026-01-08T21:14:27.356Z,ACC20,,3317.58,withdrawal,refund issued,
TXN0068,2026-03-25T19:28:22.336Z,ACC15,ACC18,2522.37,refund,monthly bill,
TXN0069,2026-05-28T18:36:16.100Z,ACC01,ACC05,2688.77,refund,purchase,
TXN0070,2026-05-05T10:40:45.263Z,,ACC22,1957.54,cash_deposit,rent,
TXN0071,2026-06-15T00:34:39.572Z,,ACC19,1633.97,cash_deposit,salary,
TXN0072,2026-02-18T20:23:20.912Z,ACC24,ACC27,1432.93,refund,utility payment,
TXN0073,2026-06-01T14:47:25.462Z,,ACC26,3819.68,cash_deposit,salary,
TXN0074,2026-04-04T15:42:15.235Z,ACC07,,2664.48,withdrawal,purchase,
TXN0075,2026-04-13T20:00:08.747Z,ACC25,,2163.62,withdrawal,salary,
TXN0076,2026-05-22T01:20:28.618Z,ACC07,ACC08,2460.63,refund,refund issued,
TXN0077,2026-04-16T11:38:51.772Z,ACC15,ACC03,3346.09,payment,personal transfer,
TXN0078,2026-05-31T20:22:14.451Z,,ACC17,475.24,cash_deposit,salary,
TXN0079,2026-02-01T01:23:29.784Z,ACC08,,3601.36,withdrawal,refund issued,
TXN0080,2026-06-24T09:48:26.382Z,ACC07,ACC06,2490.52,payment,purchase,
TXN0081,2026-05-28T13:07:45.001Z,ACC11,ACC14,3038.67,payment,refund issued,
TXN0082,2026-01-04T09:23:12.170Z,ACC26,,2589.01,withdrawal,salary,
TXN0083,2026-06-20T20:23:01.103Z,ACC02,ACC23,1269.1,transfer,salary,
TXN0084,2026-05-28T18:20:35.255Z,ACC11,ACC15,1957.63,transfer,rent,
TXN0085,2026-04-29T15:48:21.456Z,,ACC06,1399.94,cash_deposit,personal transfer,
TXN0086,2026-05-12T23:59:19.683Z,ACC26,ACC09,1533.41,transfer,purchase,
TXN0087,2026-05-06T08:57:48.330Z,ACC15,ACC11,3985.36,transfer,monthly bill,
TXN0088,2026-02-07T14:38:35.381Z,ACC01,,205.51,withdrawal,utility payment,
TXN0089,2026-04-13T10:12:19.226Z,ACC25,ACC27,1161.31,transfer,purchase,
TXN0090,2026-01-07T06:35:38.706Z,ACC18,ACC16,2236.02,transfer,monthly bill,
TXN0091,2026-05-05T05:43:09.520Z,ACC05,ACC03,1000.43,refund,salary,
TXN0092,2026-02-06T00:33:50.531Z,,ACC27,3873.03,cash_deposit,utility payment,
TXN0093,2026-06-03T12:28:45.391Z,ACC13,ACC04,1127.97,transfer,utility payment,
TXN0094,2026-01-10T04:21:50.825Z,ACC10,,3310.76,withdrawal,salary,
TXN0095,2026-01-15T10:42:03.570Z,ACC01,ACC05,1358.47,transfer,salary,
TXN0096,2026-06-04T04:44:35.749Z,,ACC24,3377.17,cash_deposit,utility payment,
TXN0097,2026-04-27T01:54:50.006Z,ACC17,ACC19,904.12,payment,salary,
TXN0098,2026-01-15T02:56:53.809Z,,ACC06,3954.43,cash_deposit,purchase,
TXN0099,2026-05-07T04:15:17.843Z,ACC19,,1681,withdrawal,salary,
TXN0100,2026-01-06T06:38:50.037Z,ACC02,ACC01,1810.98,refund,utility payment,
TXN0101,2026-04-09T09:53:30.811Z,ACC01,ACC04,687.65,payment,purchase,
TXN0102,2026-05-27T15:26:07.072Z,ACC08,,1609.99,withdrawal,monthly bill,
TXN0103,2026-01-13T16:12:20.717Z,ACC19,ACC20,617.22,payment,refund issued,
TXN0104,2026-02-22T16:23:02.259Z,ACC08,ACC07,155.51,refund,utility payment,
TXN0105,2026-01-16T11:24:39.135Z,,ACC20,3002.99,cash_deposit,salary,
TXN0106,2026-05-20T18:38:17.432Z,,ACC17,266.18,cash_deposit,refund issued,
TXN0107,2026-05-08T17:48:47.538Z,ACC13,ACC14,1030.52,refund,salary,
TXN0108,2026-02-26T21:53:44.775Z,ACC07,ACC10,296.69,payment,utility payment,
TXN0109,2026-06-18T08:36:13.969Z,ACC16,ACC17,2394.71,payment,refund issued,
TXN0110,2026-01-09T08:05:05.199Z,ACC24,ACC22,2033.71,transfer,monthly bill,
TXN0111,2026-04-15T00:15:36.247Z,ACC12,ACC11,3862.92,payment,monthly bill,
TXN0112,2026-05-23T05:54:52.329Z,ACC13,ACC12,170.56,payment,personal transfer,
TXN0113,2026-03-04T14:48:23.373Z,ACC23,ACC25,2081.07,refund,purchase,
TXN0114,2026-06-03T07:37:26.321Z,ACC06,ACC10,1316.51,payment,monthly bill,
TXN0115,2026-02-25T06:18:25.890Z,ACC18,ACC17,1766.67,payment,refund issued,
TXN0116,2026-05-03T04:25:46.836Z,ACC03,ACC04,3868.7,transfer,monthly bill,
TXN0117,2026-04-29T09:26:47.651Z,ACC14,ACC01,1905.84,refund,monthly bill,
TXN0118,2026-01-22T18:54:33.522Z,ACC05,,2501.35,withdrawal,monthly bill,
TXN0119,2026-05-03T12:15:06.621Z,ACC06,ACC25,3212.62,payment,purchase,
TXN0120,2026-03-01T17:08:19.188Z,ACC03,ACC11,3792.04,refund,personal transfer,
TXN0121,2026-02-11T06:57:53.053Z,ACC21,,121.84,withdrawal,personal transfer,
TXN0122,2026-05-17T23:47:26.753Z,ACC16,,3878.04,withdrawal,purchase,
TXN0123,2026-02-03T10:44:32.189Z,ACC12,,1780.91,withdrawal,salary,
TXN0124,2026-03-24T16:46:42.336Z,ACC23,,2750.74,withdrawal,refund issued,
TXN0125,2026-02-03T08:21:45.550Z,ACC23,ACC21,3647.83,payment,salary,
TXN0126,2026-02-05T22:05:21.596Z,ACC06,ACC26,2017.6,refund,rent,
TXN0127,2026-05-08T10:14:13.023Z,ACC04,ACC02,3942.22,transfer,salary,
TXN0128,2026-03-09T23:10:48.251Z,ACC20,ACC18,2932.08,refund,refund issued,
TXN0129,2026-06-12T19:58:25.312Z,ACC13,ACC14,1785.38,payment,utility payment,
TXN0130,2026-04-02T17:07:37.476Z,ACC20,ACC16,37.26,transfer,purchase,
