vehicle_id,registration_number,vehicle_type,make_model,color,owner_person_id,primary_user_person_id,active_from,active_to
VH02,UP16AA1646,car,Hyundai i20,white,P005,P012,2024-05-10,
VH05,DL01WQ8995,car,Maruti Swift,silver,P013,P020,2024-09-20,
VH11,UP14YH6937,motorcycle,Bajaj Pulsar,black,P032,P028,2025-02-14,
VH17,DL09DC4652,van,Tata Ace,grey,P017,P033,2024-07-01,
VH01,UP16KL0246,van,Maruti Alto,white,P005,P005,2025-02-07,
VH03,UP16QD5347,motorcycle,Honda Activa,blue,P005,P005,2024-08-24,
VH04,DL01UX5951,van,Royal Enfield Classic,white,P016,P016,2025-05-10,
VH06,DL01XU8740,motorcycle,Maruti Alto,grey,P015,P012,2024-07-22,
VH07,HR26EP0427,car,Maruti Alto,white,P021,P021,2025-02-08,
VH08,HR26KX1002,motorcycle,Tata Ace,grey,P024,P024,2024-01-26,
VH09,HR26BN3197,van,TVS Jupiter,white,P021,P021,2025-08-08,
VH10,UP14DM1748,car,Mahindra Bolero,grey,P032,P032,2024-07-17,
VH12,UP14XT3969,motorcycle,Bajaj Pulsar,blue,P035,P035,2024-11-25,
VH13,HR29VW7750,car,Honda Activa,silver,P039,P039,2024-03-13,
VH14,HR29MK8341,van,Honda Activa,grey,P044,P043,2024-10-24,
VH15,HR29PH1718,van,Maruti Swift,grey,P040,P040,2024-04-21,
VH16,DL09LY9880,car,Toyota Innova,black,P009,P009,2024-04-01,
VH18,DL09HF2764,van,Mahindra Bolero,white,P037,P040,2024-10-05,
